g13475.t1	PF16363	GDP-mannose 4,6 dehydratase	1085	1159
g3282.t1	PF02892	BED zinc finger	247	282
g8039.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	137	181
g7046.t1	PF16211	C-terminus of histone H2A	1041	1074
g3961.t1	PF01277	Oleosin	30	105
g7315.t2	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1373	1510
g7315.t2	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1232	1344
g7315.t2	PF02782	FGGY family of carbohydrate kinases, C-terminal domain	1519	1717
g4722.t1	PF03732	Retrotransposon gag protein	1128	1206
g14955.t1	PF13962	Domain of unknown function	967	1070
g3818.t1	PF20160	C-JID domain	991	1115
g1321.t1	PF02089	Palmitoyl protein thioesterase	1275	1313
g1765.t1	PF13966	zinc-binding in reverse transcriptase	1558	1636
g9145.t1	PF00076	RNA recognition motif	993	1060
g9145.t1	PF00076	RNA recognition motif	1086	1154
g9145.t1	PF20160	C-JID domain	785	856
g11885.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	653	754
g11885.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	756	829
g11885.t1	PF14223	gag-polypeptide of LTR copia-type	333	467
g11885.t1	PF22936	Pol polyprotein, beta-barrel domain	570	650
g11885.t1	PF00098	Zinc knuckle	513	529
g1751.t1	PF13966	zinc-binding in reverse transcriptase	1611	1672
g1751.t1	PF06026	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	1760	1830
g8605.t1	PF00646	F-box domain	2	38
g8605.t1	PF23622	At1g61320/AtMIF1, LRR domain	130	272
g3965.t1	PF03055	Retinal pigment epithelial membrane protein	1274	1353
g10754.t1	PF20160	C-JID domain	895	1017
g1803.t1	PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	1643	1746
g3930.t1	PF10217	Uncharacterized conserved protein (DUF2039)	1163	1201
g6251.t1	PF20160	C-JID domain	730	856
g3544.t1	PF22922	NLP protein GAF domain	1536	1635
g3544.t1	PF22922	NLP protein GAF domain	1485	1523
g3700.t1	PF03106	WRKY DNA -binding domain	1268	1325
g3700.t1	PF03106	WRKY DNA -binding domain	1104	1160
g3947.t1	PF01883	Iron-sulfur cluster assembly protein	1296	1368
g6319.t1	PF03110	SBP domain	119	149
g6319.t2	PF03110	SBP domain	119	149
g1287.t1	PF02089	Palmitoyl protein thioesterase	1276	1314
g3249.t1	PF20160	C-JID domain	980	1099
g2548.t1	PF12481	Aluminium induced protein	1562	1686
g2548.t1	PF12481	Aluminium induced protein	1718	1759
g2840.t1	PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	1042	1091
